ID;CORREO;ULTIMA_ACTUALIZACION
100061882;PEDROgmail.com;1/01/22
93736119;JUAN@gmail.com;1/01/22
175386435;MARTIN@gmail.com;1/01/22
191908301;LUISA@gmail.com;1/01/22
163635879;LORENA@gmail.com;1/01/22
188393941;LAURA@gmail.com;1/01/22
186885061;JIMENA@gmail.com;1/01/22
F89815117;JOHANA@gmail.com;1/01/22
175132697;JOAQUIN@gmail.com;1/01/22
167636783;LILIANA@gmail.com;1/01/22
131768348;LEONOR@gmail.com;1/01/22
185048068;ARISTIDES@gmail.com;1/01/22
199998727;HIPOCRATES@gmail.com;1/01/22
158010656;ADELA@gmail.com;1/01/22
199998727;HIPOCRATES@gmail.com;1/01/22
158010656;ADELA@gmail.com;1/01/22
158010656;ADELA@gmail.com;1/02/22
175132697;JOAQUIN@outlook.com;1/02/22
186885061;JIMENA@eltiempo.com;1/03/22
