DOCUMENTO;NOMBRE;CAMBIO_STATUS_DATE;STATUS
100061882;PEDRO;1/01/22;ACTIVE
93736119;JUAN;1/01/22;ACTIVE
175386435;MARTIN;1/01/22;ACTIVE
191908301;LUISA;1/01/22;ACTIVE
163635879;LORENA;1/01/22;ACTIVE
188393941;LAURA;1/01/22;ACTIVE
186885061;JIMENA;1/01/22;ACTIVE
F89815117;JOHANA;1/01/22;ACTIVE
175132697;JOAQUIN;1/01/22;ACTIVE
167636783;LILIANA;1/01/22;ACTIVE
131768348;LEONOR;1/01/22;ACTIVE
185048068;ARISTIDES;1/01/22;ACTIVE
199998727;HIPOCRATES;1/01/22;ACTIVE
158010656;ADELA;1/01/22;ACTIVE
199998727;HIPOCRATES;1/01/22;ACTIVE
158010656;ADELA;1/01/22;ACTIVE
158010656;ADELA;1/02/22;CHURN
175132697;JOAQUIN;1/02/22;CHURN
